match_id,match_type,date,venue,team1,team2,toss_winner,toss_decision,winner,team1_xi,team2_xi
1191008,t20i,2019-08-08,Sportpark Westvliet,Netherlands,United Arab Emirates,Netherlands,bat,United Arab Emirates,"MP O'Dowd,SJ Myburgh,BN Cooper,SA Edwards,PM Seelaar,AJ Staal,Sikander Zulfiqar,PRP Boissevain,HC Overdijk,TS Braat,VJ Kingma","Ashfaq Ahmed,Zawar Farid,Ghulam Shabber,Muhammad Usman,DDP D'Silva,Waheed Ahmed,Mohammad Boota,Ahmed Raza,Rameez Shahzad,Sultan Ahmed,Qadeer Ahmed"
1190744,t20i,2019-08-08,Sportpark Het Schootsveld,Netherlands,Ireland,Netherlands,field,Ireland,"B de Leede,R Rijke,FEM Van Arkel,J Post,AH Thomson,AS van Beuge,EN Lynch,IJR Zwilling,C de Lange,F Overdijk,S Siegers","GH Lewis,O Prendergast,L Paul,SM Kavanagh,L Delany,EAJ Richardson,MV Waldron,H Little,C Raack,S MacMahon,L Little"
1190746,t20i,2019-08-09,Sportpark Het Schootsveld,Netherlands,Scotland,Netherlands,bat,Scotland,"B de Leede,R Rijke,AH Thomson,J Post,AS van Beuge,IJR Zwilling,EN Lynch,LK Bennett,S Siegers,C de Lange,M Zwilling","SJ Bryce,L Jack,RS Glen,RV Hawkins,EL Watson,RK Willis,K McGill,A Aitken-Drummond,HRA Rainey,S Haggo,K Fraser"
1190747,t20i,2019-08-09,Sportpark Het Schootsveld,Ireland,Thailand,Ireland,field,Thailand,"GH Lewis,O Prendergast,SM Kavanagh,EAJ Richardson,L Delany,R Stokell,U Raymond-Hoey,MV Waldron,L Little,L Maritz,C Raack","N Chantam,N Chaiwai,N Koncharoenkai,C Sutthiruang,N Boochatham,W Liengprasert,R Padunglerd,S Tippoch,S Lateh,S Laomi,O Kamchomphu"
1190749,t20i,2019-08-10,Sportpark Het Schootsveld,Ireland,Scotland,Scotland,bat,Scotland,"GH Lewis,L Paul,KJ Garth,U Raymond-Hoey,L Delany,EAJ Richardson,MV Waldron,S MacMahon,L Maritz,H Little,C Raack","SJ Bryce,L Jack,RS Glen,PA Chatterji,RV Hawkins,RK Willis,EL Watson,K McGill,HRA Rainey,M McColl,K Fraser"
1190750,t20i,2019-08-12,Sportpark Het Schootsveld,Scotland,Thailand,Scotland,field,Scotland,"SJ Bryce,L Jack,RS Glen,PA Chatterji,RK Willis,EL Watson,K McGill,A Aitken-Drummond,HRA Rainey,M McColl,K Fraser","N Chantam,N Chaiwai,N Koncharoenkai,N Boochatham,C Sutthiruang,S Tippoch,R Padunglerd,O Kamchomphu,S Lateh,S Laomi,W Liengprasert"
1190752,t20i,2019-08-13,Sportpark Het Schootsveld,Ireland,Thailand,Ireland,bat,Thailand,"GH Lewis,R Stokell,KJ Garth,MV Waldron,L Delany,EAJ Richardson,SM Kavanagh,S MacMahon,H Little,L Little,C Raack","N Chantam,N Chaiwai,N Koncharoenkai,C Sutthiruang,N Boochatham,S Tippoch,R Padunglerd,O Kamchomphu,S Lateh,S Laomi,W Liengprasert"
1190753,t20i,2019-08-13,Sportpark Het Schootsveld,Netherlands,Scotland,Netherlands,field,Scotland,"SL Kalis,B de Leede,AH Thomson,J Post,AS van Beuge,IJR Zwilling,LK Bennett,EN Lynch,L Klokgieters,S Siegers,C de Lange","SJ Bryce,L Jack,RS Glen,PA Chatterji,EL Watson,RK Willis,K McGill,S Haggo,HRA Rainey,M McColl,K Fraser"
1190754,t20i,2019-08-14,Sportpark Het Schootsveld,Ireland,Scotland,Scotland,bat,Ireland,"GH Lewis,R Stokell,KJ Garth,MV Waldron,L Delany,EAJ Richardson,SM Kavanagh,L Paul,L Little,L Maritz,C Raack","SJ Bryce,L Jack,RS Glen,PA Chatterji,EL Watson,RK Willis,K McGill,S Haggo,M McColl,K Fraser,A Hogg"
1190755,t20i,2019-08-14,Sportpark Het Schootsveld,Netherlands,Thailand,Netherlands,field,Thailand,"B de Leede,R Rijke,AH Thomson,J Post,IJR Zwilling,LK Bennett,L Klokgieters,S Siegers,F Overdijk,M Zwilling,AS van Beuge","N Chantam,N Chaiwai,N Koncharoenkai,N Boochatham,C Sutthiruang,S Tippoch,O Kamchomphu,R Padunglerd,W Liengprasert,S Laomi,S Lateh"
1197396,t20i,2019-08-18,"White Hill Field, Sandys Parish",Bermuda,United States of America,Bermuda,bat,Bermuda,"O Bascome,KS Leverock,TS Fray,DMW Rawlins,AC Douglas,OGL Bascome,MO Jones,DAP Darrell,JE Pitcher,GH O'Brien,RJ Trott","XM Marshall,JS Malhotra,SR Taylor,MD Patel,Aaron Jones,HR Walsh,TP Allen,NK Patel,CJ Gannon,SN Netravalkar,Jasdeep Singh"
1197397,t20i,2019-08-18,"White Hill Field, Sandys Parish",Canada,Cayman Islands,Canada,bat,Canada,"RA Thomas,NS Dhaliwal,NR Kumar,Ravinderpal Singh,Rizwan Cheema,Hamza Tariq,D Heyliger,N Dutta,Saad Bin Zafar,Junaid Siddiqui,GDR Eranga","C Hauptfleisch,D Cato,YSD Seneveratne,OR Willis,GM Strydom,P Manning,AF Ifill,T Taylor,C Wright,KR Ebanks,A Morris"
1197399,t20i,2019-08-19,National Stadium,Cayman Islands,United States of America,United States of America,field,United States of America,"C Hauptfleisch,D Cato,YSD Seneveratne,GM Strydom,P Manning,A Gavde,LHB Harrington-Myers,AF Ifill,T Taylor,A Morris,C Wright","XM Marshall,JS Malhotra,SR Taylor,MD Patel,Aaron Jones,HR Walsh,TK Patel,NK Patel,SN Netravalkar,TP Allen,CJ Gannon"
1197507,t20i,2019-08-19,United Cricket Club Ground,Namibia,Botswana,Botswana,field,Namibia,"SJ Baard,N Davin,MG Erasmus,K Birkenstock,CG Williams,ZE Green,Z Groenewald,T Lungameni,JN Frylinck,B Shikongo,HN Ya France","T Perera,K Motlanka,H Pragji,Ameer Saiyed,R Nehonde,V Mbazo,M Mooketsi,P Silas,D Kegasitswe,B Khumalo,D Maisuria"
1197508,t20i,2019-08-20,United Cricket Club Ground,Namibia,Botswana,Botswana,field,Namibia,"SJ Baard,N Davin,MG Erasmus,JP Kotze,CG Williams,ZE Green,JN Frylinck,HN Ya France,Z Groenewald,T Lungameni,B Shikongo","T Perera,K Motlanka,H Pragji,R Nehonde,V Mbazo,P Silas,A Rangaswamy,D Maisuria,D Kegasitswe,Ameer Saiyed,M Mooketsi"
1197401,t20i,2019-08-21,"White Hill Field, Sandys Parish",Canada,United States of America,United States of America,bat,Canada,"RA Thomas,Rizwan Cheema,NS Dhaliwal,NR Kumar,Saad Bin Zafar,Ravinderpal Singh,Hamza Tariq,D Heyliger,Junaid Siddiqui,GDR Eranga,N Dutta","XM Marshall,MD Patel,SR Taylor,Aaron Jones,JS Malhotra,HR Walsh,TP Allen,CJ Gannon,SN Netravalkar,TK Patel,K Gore"
1197400,t20i,2019-08-21,"White Hill Field, Sandys Parish",Bermuda,Cayman Islands,Cayman Islands,bat,Bermuda,"O Bascome,TS Fray,OGL Bascome,DMW Rawlins,KS Leverock,RJ Trott,JE Pitcher,DAP Darrell,AC Douglas,MO Jones,GH O'Brien","C Hauptfleisch,YSD Seneveratne,D Cato,GM Strydom,T Taylor,C Wright,P Manning,LHB Harrington-Myers,KR Ebanks,A Morris,AF Ifill"
1197509,t20i,2019-08-22,United Cricket Club Ground,Namibia,Botswana,Namibia,bat,Namibia,"SJ Baard,N Davin,MG Erasmus,JP Kotze,JN Frylinck,HN Ya France,ZE Green,CG Williams,BM Scholtz,T Lungameni,B Shikongo","T Perera,K Motlanka,Ameer Saiyed,R Nehonde,V Mbazo,H Pragji,M Mooketsi,P Silas,D Maisuria,D Kegasitswe,B Khumalo"
1197402,t20i,2019-08-22,"White Hill Field, Sandys Parish",Canada,Cayman Islands,Canada,field,Canada,"RA Thomas,Rizwan Cheema,NS Dhaliwal,NR Kumar,N Dutta,Hamza Tariq,Ravinderpal Singh,D Heyliger,Junaid Siddiqui,GDR Eranga,Saad Bin Zafar","C Hauptfleisch,KR Ebanks,YSD Seneveratne,GM Strydom,AF Ifill,LHB Harrington-Myers,P Manning,T Taylor,C Wright,A Morris,Z McLaughlin"
1197403,t20i,2019-08-22,Bermuda National Stadium,United States of America,Bermuda,Bermuda,field,Bermuda,"TK Patel,XM Marshall,S Sohal,CJ Gannon,SR Taylor,TP Allen,SN Netravalkar,HR Walsh,Aaron Jones,K Gore,MD Patel","GH O'Brien,MO Jones,RJ Trott,TS Fray,DAP Darrell,S Smith,KS Leverock,O Bascome,DMW Rawlins,OGL Bascome,AC Douglas"
1197510,t20i,2019-08-23,United Cricket Club Ground,Namibia,Botswana,Botswana,bat,Namibia,"N Davin,JP Kotze,MG Erasmus,L Louwrens,JN Frylinck,HN Ya France,ZE Green,BM Scholtz,Z Groenewald,CG Williams,B Shikongo","T Perera,K Motlanka,Ameer Saiyed,R Nehonde,V Mbazo,H Pragji,M Mooketsi,P Silas,D Maisuria,D Kegasitswe,B Khumalo"
1197404,t20i,2019-08-24,"White Hill Field, Sandys Parish",Cayman Islands,United States of America,Cayman Islands,bat,United States of America,"YSD Seneveratne,P Manning,OR Willis,GM Strydom,AF Ifill,C Hauptfleisch,T Taylor,C Wright,KR Ebanks,Z McLaughlin,A Morris","XM Marshall,MD Patel,SR Taylor,S Sohal,Aaron Jones,HR Walsh,TP Allen,NK Patel,TK Patel,SN Netravalkar,K Gore"
1197407,t20i,2019-08-25,"White Hill Field, Sandys Parish",Bermuda,Cayman Islands,Cayman Islands,bat,Bermuda,"OGL Bascome,TS Fray,DAP Darrell,KS Leverock,AC Douglas,DC Stovell,JE Pitcher,DL Brangman,M Simmons,RJ Trott,S Smith","YSD Seneveratne,P Manning,OR Willis,GM Strydom,C Wright,LHB Harrington-Myers,T Taylor,AF Ifill,Z McLaughlin,KR Ebanks,A Morris"
1197406,t20i,2019-08-25,"White Hill Field, Sandys Parish",Canada,United States of America,United States of America,field,Canada,"Abraash Khan,Rizwan Cheema,NS Dhaliwal,NR Kumar,Ravinderpal Singh,Hamza Tariq,H Thaker,Saad Bin Zafar,MR Montfort,Junaid Siddiqui,GDR Eranga","JS Malhotra,MD Patel,SR Taylor,S Sohal,Aaron Jones,HR Walsh,NK Patel,Jasdeep Singh,SN Netravalkar,TK Patel,K Gore"
